DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
486,4.050000,0.144893,0.984830,0.095298,0.005808,336.532654,1711.710205,-276.069397,0.130858,-0.989297,0.200171,1.017792,-8.169874,-6.145312,-7.722508,12.812058,-8.154437,0.830477,3.880402,-0.167313,-71.581512,3.569641,124.244972,1748.159668,-304.446167,377.697693,1712.605713,-404.309235,541.273254,1673.338989,-195.098679,,,,0.173769,0.940618,-0.026479,-0.290415,429.515198,1695.500732,-599.246033,0.251140,-1.411421,-0.088616,1.436326,-2.907861,-9.861330,11.368652,15.328006,3.511143,-2.394471,8.905840,-3.199911,95.245880,20.170095,574.922546,1667.662476,-648.975403,,,,380.717072,1711.159790,-468.573120,141.091293,1739.644775,-596.785828,340.491150,1739.793091,-676.553894,308.953674,1742.102173,-204.857178,2626.687988,32.605091,1376.517334,2654.905029,54.016758,1305.949097,2659.306152,39.615768,1334.091431,2455.558105,133.415482,1465.880737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.017761,762.526917,-78.940804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.732758,1295.276001,-398.052704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,4.058333,0.159771,0.978881,0.127375,0.006329,334.690765,1702.875122,-276.245728,0.025873,-1.021055,0.125277,1.029037,-12.598241,-3.810940,-8.987256,15.937682,-7.716863,0.643848,3.757024,52.508865,-22.395542,-14.805421,124.389969,1747.533813,-303.666718,376.358185,1710.875610,-404.162262,537.539917,1653.006104,-196.240921,,,,0.202186,0.935012,-0.050212,-0.286970,428.127777,1684.604370,-598.107300,0.145518,-1.429058,-0.020537,1.436594,-12.674706,-2.116413,8.169434,15.227180,3.269580,-1.196393,8.326942,-28.987568,143.769379,-69.467697,572.582520,1647.557251,-646.516113,,,,380.426514,1710.477539,-468.442017,141.447311,1740.832642,-597.702271,339.856262,1724.797241,-678.753906,307.365936,1729.041626,-203.355560,2626.707031,32.626392,1376.485107,2654.900635,53.965210,1305.909546,2659.343994,39.155838,1334.471191,2455.597900,133.420044,1465.898071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.667175,762.501343,-79.347267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.325470,1295.012939,-397.756226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,4.066667,0.170593,0.971533,0.164163,0.008508,332.753235,1694.276855,-277.259033,-0.081075,-1.031484,0.044604,1.035627,-12.833789,-1.251554,-9.680713,16.124165,-8.936617,0.556974,2.814132,-146.370438,-10.424837,-113.146927,123.866196,1745.882812,-303.894196,376.257416,1710.717529,-404.109253,533.474548,1633.695312,-198.265167,,,,0.228667,0.926722,-0.076420,-0.288199,425.196533,1674.273926,-597.554993,0.017410,-1.399995,0.045161,1.400832,-15.372950,3.487501,7.883789,17.625105,4.218046,-0.105938,8.136903,113.815918,130.854675,-22.804754,567.126099,1628.625244,-645.947998,,,,380.274475,1710.471802,-468.428009,141.430786,1741.191406,-597.112244,336.527008,1711.966553,-679.506653,305.209839,1714.984741,-201.873596,2627.926758,37.533363,1374.937622,2654.915527,54.035610,1305.948242,2659.361084,39.173973,1334.446655,2455.644531,133.404694,1465.876953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.078369,762.493835,-79.269753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.808777,1294.791992,-397.736115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,4.075000,0.176277,0.964470,0.196484,0.010832,330.840759,1686.926270,-278.769470,-0.158752,-1.003477,-0.030443,1.016412,-9.321239,3.360929,-9.005713,13.389706,-7.899564,0.543097,1.589205,124.446365,-1.665223,-146.991333,123.074806,1743.035767,-304.669281,376.269531,1711.024902,-404.172577,529.668335,1618.458496,-200.843170,,,,0.247536,0.918092,-0.098924,-0.293337,421.243896,1666.508911,-597.709900,-0.158555,-1.291406,0.051431,1.302119,-21.115721,13.030671,0.752343,24.824142,4.140971,0.851057,6.133648,-9.248942,114.839348,-240.390518,560.415955,1614.509155,-647.335022,,,,380.217529,1710.822998,-468.458710,139.787872,1740.819702,-595.304138,330.062531,1700.030884,-678.964844,302.121368,1702.384766,-201.955170,2627.843018,37.484306,1374.973633,2654.904785,54.026955,1305.907104,2659.385742,39.213894,1334.483765,2455.612793,133.424698,1465.905762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.677002,762.484619,-78.980804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.658173,1294.909912,-397.713165,,,,,,,,,,,,,,,,,,,,,,,,,757.974487,857.235657,-289.487335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,4.083333,0.175185,0.959134,0.221609,0.016191,328.419434,1681.358032,-280.604858,-0.217694,-0.933911,-0.099459,0.964092,-7.072999,8.347857,-8.281933,13.722406,-6.297791,-0.139912,-0.214520,192.212784,-81.961143,-216.446915,121.160942,1739.028198,-307.739960,376.203461,1711.641357,-404.265594,525.837646,1608.632202,-201.794510,,,,0.258804,0.909686,-0.117115,-0.302947,416.761963,1662.026489,-597.919678,-0.299088,-1.101475,0.052727,1.142576,-16.864014,22.791794,0.155566,28.352867,3.985789,1.896256,4.035057,-18.621881,125.423836,-251.830948,553.216858,1605.899902,-650.030273,,,,379.985840,1712.024658,-468.585358,137.342133,1740.780151,-590.352783,320.674561,1687.915161,-676.584412,296.761139,1690.086792,-203.851242,2627.824463,37.517891,1374.988159,2654.905029,54.030457,1305.929565,2659.327881,39.176674,1334.487305,2455.524414,133.431320,1465.884399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.450317,762.425659,-79.086815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.300537,1295.057739,-397.863342,,,,,,,,,,,,,,,,,,,,,,,,,777.178040,863.957458,-300.004089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,4.091667,0.165209,0.955392,0.243467,0.025601,325.941772,1678.334473,-283.461792,-0.254183,-0.801021,-0.177418,0.858906,-4.378710,15.946869,-9.355078,18.999821,-5.665466,-0.731171,-2.554824,75.878960,-70.951042,-280.836548,118.495865,1734.189087,-314.451263,377.081543,1714.350342,-404.727020,522.098755,1605.091431,-201.338669,,,,0.259027,0.903516,-0.129328,-0.315972,412.306763,1660.755859,-598.033630,-0.412998,-0.833848,0.029092,0.930976,-13.669188,32.115231,-2.836230,35.018265,3.632926,2.540003,0.953856,-42.343479,77.249672,-369.744141,547.598511,1603.633545,-653.787903,,,,379.730560,1712.912231,-468.573639,132.733658,1739.699951,-582.188721,310.597778,1676.496826,-672.899780,290.098206,1677.703857,-207.682343,2627.888428,37.454823,1374.947510,2654.942871,54.046452,1305.976562,2659.292480,39.602215,1334.102661,2455.609619,133.390533,1465.888062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.538086,762.702271,-79.027161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.639191,1295.071899,-398.318420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,4.100000,0.152551,0.954116,0.255415,0.033975,323.180939,1676.007812,-286.584015,-0.276233,-0.644824,-0.248119,0.744087,-2.645949,18.743555,-8.484082,20.743711,-3.224093,-0.714555,-3.267808,292.964661,1.993990,-85.558060,114.480766,1728.701416,-322.413727,376.849518,1715.168579,-404.998047,519.479797,1604.994873,-201.014465,,,,0.255286,0.898390,-0.143638,-0.327252,408.413208,1660.160156,-596.703735,-0.473148,-0.586699,0.033691,0.754467,-7.218017,29.657812,0.551953,30.528515,4.247287,1.829175,0.242527,73.723289,-85.299393,-85.359406,543.674561,1603.145508,-655.364990,302.871918,1664.526489,-667.797791,379.160156,1714.133789,-468.314972,127.724747,1737.121094,-572.657959,,,,284.633179,1665.750488,-212.362701,2627.857178,37.461803,1374.965454,2654.903320,54.019867,1305.930176,2659.312256,39.529182,1334.033813,2455.604492,133.409927,1465.872681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.869995,762.583618,-79.082771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.683685,1295.170044,-398.056549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,4.108333,0.139831,0.955057,0.258635,0.037694,321.886688,1675.979126,-288.423218,-0.260797,-0.439146,-0.267938,0.576762,1.852294,24.681446,-2.378322,24.864859,-0.919602,0.053577,-3.149196,276.538971,92.175735,14.233502,112.526718,1724.203857,-327.508057,375.896088,1716.690552,-405.455597,519.005798,1609.084961,-200.298889,280.962158,1648.732788,-219.530914,0.246745,0.894418,-0.169711,-0.332163,407.012207,1659.245239,-594.803589,-0.436425,-0.360674,0.066021,0.570009,4.406834,27.123047,3.879492,27.751223,6.731263,-0.521048,0.280322,298.077026,-282.026672,4.535333,543.626160,1607.150391,-655.818542,299.774445,1650.357300,-661.088074,378.699921,1715.307983,-467.924896,123.934044,1733.909546,-565.840027,,,,,,,2627.889893,37.449722,1374.947632,2654.922852,54.017811,1305.909668,2659.345703,39.642124,1334.003174,2455.636475,133.394257,1465.886353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.415222,762.646118,-78.876923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.461121,1295.032471,-397.722412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,4.116667,0.113895,0.950326,0.287620,0.034409,322.872437,1671.668457,-290.762939,-0.191239,-0.366182,-0.287842,0.503502,8.346975,8.755667,-2.388425,12.330379,-7.063683,3.293717,-5.321257,-737.289673,388.816833,-260.647308,111.959564,1719.967163,-328.004974,375.369720,1717.735718,-405.848175,522.009155,1617.589233,-200.099380,282.151184,1631.381836,-229.099121,0.233161,0.894615,-0.196363,-0.326714,409.184387,1659.813721,-592.520813,-0.289431,-0.160693,0.124548,0.353702,17.639210,23.997656,7.023340,30.599943,6.474343,-3.317457,-0.581121,-30.830381,-335.569153,-103.373100,548.459045,1616.378784,-654.532349,302.093628,1635.436401,-654.181091,378.153198,1716.495850,-467.573883,123.422630,1729.400513,-565.665222,,,,,,,2627.854492,37.416710,1374.949219,2654.929443,54.059765,1305.918823,2659.321533,39.695892,1334.098145,2455.687744,133.435822,1465.875122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.893066,762.566650,-78.720222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.176575,1294.609985,-397.964691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,4.125000,0.113390,0.966549,0.228760,0.024401,326.128723,1682.468994,-287.126251,-0.054979,0.026675,-0.156515,0.168021,16.351171,47.142773,15.759227,52.327385,14.823263,0.843068,-0.354126,2626.433350,-294.077881,596.055664,112.853310,1716.427124,-325.233429,374.999420,1718.473022,-406.214233,529.622253,1632.673584,-200.065948,,,,0.209665,0.914420,-0.135591,-0.318577,414.122406,1672.997559,-594.436584,-0.063351,0.263320,0.083591,0.283440,27.129639,50.881638,-4.914844,57.871532,-12.604503,-1.007428,-10.542914,-2289.461426,277.203461,-1195.415161,557.479248,1630.528931,-651.986816,,,,377.852264,1717.583374,-467.106079,125.151253,1725.029663,-570.639893,309.332642,1619.647339,-646.810120,290.578033,1617.759644,-235.341003,2627.884521,37.437649,1374.925537,2654.907959,53.995457,1305.945557,2659.347900,39.647026,1333.996216,2455.696777,133.395294,1465.841187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.053284,762.499207,-79.378525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.007477,1294.699707,-398.256500,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.417282,1718.698364,-425.844971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,4.133333,0.097867,0.975200,0.198216,0.010875,330.495972,1689.202515,-284.845123,0.109303,0.260801,-0.033197,0.284721,19.713867,28.095116,14.798144,37.375889,7.839407,3.210227,-3.273391,-838.062622,284.059082,-350.311768,114.714912,1713.218506,-319.355927,374.948425,1719.471924,-406.756653,538.346558,1652.146240,-200.691788,,,,0.183491,0.927116,-0.114280,-0.306149,420.269165,1682.501953,-594.391113,0.191104,0.521909,0.087422,0.562630,30.534519,31.030661,0.459668,43.536995,-3.715018,-3.478593,-7.609941,1066.738159,-296.539734,351.956848,567.467163,1649.293457,-649.101440,,,,378.065643,1718.422729,-466.529785,128.336334,1721.053101,-577.419495,322.004822,1610.646973,-642.934692,302.548767,1609.671143,-238.120087,2627.869385,37.439152,1374.930786,2654.968994,54.057083,1306.007202,2659.321777,39.607841,1333.893555,2455.659668,133.385803,1465.877075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.219238,762.062073,-79.547356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.091736,1294.642334,-398.151276,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.686005,1716.544922,-425.134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,4.141667,0.079811,0.983215,0.164065,-0.000853,334.786926,1696.899536,-283.121765,0.278540,0.501431,0.083090,0.579587,20.308447,28.875587,13.954394,37.959949,8.605120,2.823281,-3.946552,91.885468,-46.433540,-80.779259,117.089890,1709.950928,-314.304901,375.188019,1720.471191,-407.540222,546.321411,1673.973877,-201.639175,,,,0.155933,0.937854,-0.088931,-0.296995,425.138794,1693.660034,-594.118713,0.401415,0.804009,0.062043,0.900785,25.237354,33.851959,-3.045410,42.333839,-4.314475,-2.465888,-8.218483,-71.934837,121.524574,-73.025093,575.075562,1670.037964,-646.492981,,,,378.115479,1719.577148,-465.909851,131.491714,1719.174438,-582.672180,335.333344,1609.783203,-643.660706,316.222168,1608.395752,-236.357849,2627.905029,37.431587,1374.914062,2654.930176,53.978584,1305.976807,2659.346924,39.665844,1333.973877,2455.692139,133.394623,1465.889404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.264038,762.652344,-78.960770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.389343,1294.935547,-397.891266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,4.150000,0.059583,0.989870,0.128639,-0.007677,337.677979,1704.841064,-281.686584,0.378992,0.692666,0.161686,0.805955,12.054201,22.948242,9.431542,27.584045,8.758986,1.727306,-4.626064,18.463896,-131.516937,-81.541527,119.263580,1706.337646,-310.588287,375.744812,1721.246948,-408.128784,550.826233,1696.792603,-201.711960,,,,0.123897,0.945125,-0.068141,-0.294524,427.673462,1704.587036,-594.287964,0.495868,1.088203,0.012371,1.195920,11.334374,34.103321,-5.960742,36.428490,-2.644225,-0.980518,-8.914197,200.429901,178.244400,-83.485672,579.168091,1691.628540,-646.224304,,,,378.294556,1720.523804,-465.451294,132.945312,1714.647339,-584.578857,344.167725,1614.216309,-646.614746,325.395477,1614.257324,-231.551514,2627.832031,37.393139,1374.992310,2654.927002,54.024967,1305.942383,2659.321533,39.578739,1333.888550,2455.728027,133.384445,1465.913452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.743958,762.422974,-79.034439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.011688,1294.944336,-398.238800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,4.158333,0.037709,0.994157,0.100796,-0.008317,338.169739,1711.068970,-281.329437,0.367134,0.945630,0.226395,1.039355,-1.422951,30.355659,7.765138,31.365398,6.797837,0.421397,-5.188045,-235.337830,-156.709122,-67.437683,120.600403,1701.258301,-309.871643,375.764832,1722.110840,-409.016479,550.652039,1716.921265,-200.906296,,,,0.090610,0.948771,-0.054738,-0.297705,427.295624,1714.169189,-594.916260,0.434670,1.304531,-0.057488,1.376243,-7.343702,25.959375,-8.383008,28.250557,-0.652570,0.318186,-8.660325,238.998611,155.844498,30.464628,578.729736,1712.042725,-648.091003,,,,377.966614,1721.408325,-465.004028,132.706451,1707.367065,-583.802612,347.924316,1622.044434,-650.330444,328.355682,1623.100952,-226.956970,2627.843506,37.378067,1374.982666,2654.948975,53.995434,1305.998535,2659.286621,39.631172,1334.007080,2455.681152,133.379761,1465.898438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.645996,762.570801,-79.127266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.405701,1294.876221,-397.933167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.349731,854.468811,-279.957306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,4.166667,0.014509,0.996706,0.079626,-0.005142,336.796692,1715.281860,-281.718292,0.256033,0.787500,0.129796,0.838186,-13.332127,-18.975584,-11.591895,25.926636,5.131293,-0.393027,-5.593857,-199.985214,-97.730812,-48.697468,120.506294,1694.248901,-311.205750,375.465729,1722.692993,-409.996429,547.354797,1734.275024,-199.714523,,,,0.056967,0.949856,-0.046166,-0.303968,425.178162,1722.378784,-595.929932,0.265334,1.185132,-0.035837,1.215000,-20.320311,-14.327930,2.598047,24.999090,0.573877,1.093166,-8.380561,147.173645,92.997559,33.571701,574.624817,1730.984131,-651.412048,,,,377.664337,1721.956421,-464.066528,132.472580,1697.995728,-582.233093,348.886230,1630.656738,-653.511169,327.167084,1634.587158,-222.224945,2627.940430,37.388878,1374.912720,2654.933838,53.982521,1305.951172,2659.341797,39.650902,1333.930420,2455.694336,133.360260,1465.889648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.971741,762.532532,-79.128784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.368835,1295.001709,-397.766907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.502808,861.105530,-288.718018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,4.175000,-0.009174,0.997983,0.062774,-0.002056,334.596008,1718.294800,-281.896606,0.098401,0.698203,0.070763,0.708645,-18.915821,-10.715625,-7.083984,22.865164,4.074527,-0.345776,-5.708789,-126.811920,5.670118,-13.791846,120.708076,1686.264404,-311.996857,374.298615,1723.240723,-410.607178,542.204407,1749.760986,-198.698105,,,,0.025419,0.949913,-0.041298,-0.308729,422.237915,1729.514526,-596.474548,0.047252,1.128311,-0.050010,1.130406,-26.169872,-6.818561,-1.700684,27.096998,1.256426,0.798454,-7.601951,81.905838,-35.365353,93.433167,569.197083,1748.010620,-653.650330,,,,376.663361,1722.662476,-463.046143,132.407974,1688.311523,-581.155579,346.375946,1640.419800,-656.818726,323.645111,1646.168213,-218.277832,2627.835449,37.344913,1374.977905,2654.957275,53.994942,1306.007446,2659.319824,39.607994,1333.851807,2455.715088,133.362350,1465.913452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.383972,762.274658,-79.418633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.703003,1298.748535,-400.745056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
